Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_3h
54523 2025 10 9 3 1023.0000 1024.0000 1023.5000 1023.0000 1.9000 5.1000 45 47 1.8000 48 8.7000 8.9000 8.7000 97 97 6.8000 
54523 2025 10 9 6 1022.2000 1023.2000 1022.7000 1022.1000 2.4000 6.9000 39 41 3.1000 32 8.2000 8.2000 8.1000 97 97 17.6000 
54523 2025 10 9 9 1022.0000 1023.0000 1022.0000 1021.5000 1.7000 4.5000 14 40 1.6000 42 8.2000 8.4000 8.2000 96 96 7.0000 
54523 2025 10 9 12 1022.2000 1023.2000 1022.3000 1022.1000 1.4000 4.1000 29 26 1.5000 37 8.2000 8.2000 8.1000 97 97 6.5000 
54523 2025 10 9 15 1022.1000 1023.1000 1022.6000 1022.1000 1.0000 1.9000 338 352 0.9000 344 8.5000 8.5000 8.3000 97 96 0.3000 
54523 2025 10 9 18 1022.5000 1023.5000 1022.6000 1022.1000 1.9000 6.9000 3 23 1.5000 5 8.9000 9.1000 8.6000 97 97 3.0000 
54523 2025 10 9 21 1021.2000 1022.2000 1021.2000 1020.4000 0.8000 1.6000 354 330 0.6000 328 8.9000 8.9000 8.8000 98 96 1.6000 
54525 2025 10 5 0 1016.1000 1016.7000 1016.1000 1015.6000 1.4000 1.9000 124 92 1.4000 95 19.2000 19.2000 18.3000 88 88 0.0000 
54525 2025 10 5 3 1016.6000 1017.2000 1017.2000 1016.6000 3.3000 6.0000 96 95 2.2000 113 19.6000 20.1000 19.5000 74 74 0.0000 
54525 2025 10 5 6 1015.8000 1016.4000 1016.1000 1015.6000 2.4000 4.6000 70 69 1.7000 81 20.0000 20.2000 19.7000 60 58 0.0000 
54525 2025 10 5 9 1015.7000 1016.3000 1015.8000 1015.4000 3.0000 4.6000 98 83 1.2000 103 19.3000 19.5000 19.3000 59 58 0.0000 
54525 2025 10 5 12 1017.3000 1017.9000 1017.3000 1016.9000 3.0000 5.4000 129 124 3.4000 119 17.0000 18.1000 17.0000 76 64 0.0000 
54525 2025 10 5 15 1018.5000 1019.1000 1018.8000 1018.4000 2.4000 3.7000 110 140 1.7000 125 14.0000 14.5000 14.0000 88 85 2.6000 
54525 2025 10 5 18 1018.6000 1019.2000 1018.8000 1018.4000 1.2000 1.8000 332 339 1.1000 355 13.6000 13.7000 13.5000 89 82 2.0000 
54525 2025 10 5 21 1018.6000 1019.2000 1018.8000 1018.5000 1.9000 3.4000 42 354 1.4000 24 13.4000 13.6000 13.4000 73 71 0.1000 
54525 2025 10 6 0 1019.6000 1020.3000 1019.6000 1018.6000 1.4000 1.9000 340 333 1.4000 329 13.8000 13.8000 13.2000 77 76 0.1000 
54525 2025 10 6 3 1020.1000 1020.8000 1020.6000 1020.0000 2.0000 3.5000 321 339 2.0000 330 16.6000 16.6000 15.3000 63 61 0.0000 
54525 2025 10 6 6 1018.6000 1019.2000 1018.9000 1018.5000 1.6000 2.7000 284 315 1.3000 285 19.2000 19.2000 18.1000 51 50 0.0000 
54525 2025 10 6 9 1018.2000 1018.8000 1018.2000 1018.0000 1.7000 2.5000 290 267 0.9000 278 19.4000 20.6000 19.4000 55 47 0.0000 
54525 2025 10 6 12 1019.4000 1020.1000 1019.4000 1018.9000 0.9000 1.6000 239 999017 0.2000 220 14.7000 16.2000 14.7000 82 70 0.0000 
54525 2025 10 6 15 1019.7000 1020.4000 1019.7000 1019.5000 0.9000 1.4000 312 271 0.5000 300 12.6000 13.2000 12.6000 91 90 0.0000 
54525 2025 10 6 18 1019.9000 1020.5000 1020.0000 1019.0000 1.4000 2.0000 281 270 0.8000 295 14.2000 14.2000 13.9000 82 82 0.0000 
